month,city_id,new_passengers,repeat_passengers,total_passengers
01-01-2024,AP01,2513,650,3163
01-01-2024,CH01,3920,720,4640
01-01-2024,GJ01,2432,1184,3616
01-01-2024,GJ02,2089,544,2633
01-01-2024,KA01,1957,172,2129
01-01-2024,KL01,4865,795,5660
01-01-2024,MP01,2843,1033,3876
01-01-2024,RJ01,10423,1422,11845
01-01-2024,TN01,1822,392,2214
01-01-2024,UP01,3465,1431,4896
01-02-2024,AP01,2380,790,3170
01-02-2024,CH01,4104,853,4957
01-02-2024,GJ01,2254,1313,3567
01-02-2024,GJ02,2146,610,2756
01-02-2024,KA01,2107,183,2290
01-02-2024,KL01,4367,1005,5372
01-02-2024,MP01,2878,1103,3981
01-02-2024,RJ01,10789,1661,12450
01-02-2024,TN01,1647,346,1993
01-02-2024,UP01,3529,1659,5188
01-03-2024,AP01,2170,923,3093
01-03-2024,CH01,3228,872,4100
01-03-2024,GJ01,1946,1494,3440
01-03-2024,GJ02,1763,759,2522
01-03-2024,KA01,1986,208,2194
01-03-2024,KL01,4865,1348,6213
01-03-2024,MP01,2742,1091,3833
01-03-2024,RJ01,7417,1840,9257
01-03-2024,TN01,1538,427,1965
01-03-2024,UP01,3159,1622,4781
01-04-2024,AP01,1845,992,2837
01-04-2024,CH01,2496,789,3285
01-04-2024,GJ01,1843,1551,3394
01-04-2024,GJ02,1637,862,2499
01-04-2024,KA01,1836,236,2072
01-04-2024,KL01,4939,1576,6515
01-04-2024,MP01,2351,1295,3646
01-04-2024,RJ01,6120,1736,7856
01-04-2024,TN01,1242,480,1722
01-04-2024,UP01,2311,1496,3807
01-05-2024,AP01,1939,951,2890
01-05-2024,CH01,2730,969,3699
01-05-2024,GJ01,1611,1606,3217
01-05-2024,GJ02,1388,868,2256
01-05-2024,KA01,1921,349,2270
01-05-2024,KL01,4369,1853,6222
01-05-2024,MP01,2028,1563,3591
01-05-2024,RJ01,5332,1842,7174
01-05-2024,TN01,1039,504,1543
01-05-2024,UP01,1825,1662,3487
01-06-2024,AP01,1900,802,2702
01-06-2024,CH01,2430,867,3297
01-06-2024,GJ01,1540,1490,3030
01-06-2024,GJ02,1104,703,1807
01-06-2024,KA01,1874,329,2203
01-06-2024,KL01,3011,1049,4060
01-06-2024,MP01,2021,1131,3152
01-06-2024,RJ01,5775,1181,6956
01-06-2024,TN01,1226,402,1628
01-06-2024,UP01,1971,1727,3698
